score,comment,serving,rbid,rbbrewer,created_at
3.2,"Lightly hazed reddish-amber body. Fruit cocktail and caramelized malt nose with ashy / roasty / meaty suggestions. Strong mineral character and high sweetness with medium-low bitterness and a lingering sugar syrupiness. Crisp, a little savory, a bit candyish with that red apple / cherry fruit thing going on again. Mild touch of solvent dirtiness noticed as it opens. ",,99567,3701,'2013-12-02 00:00:00'
2.7,"Bottle from Getränke Kistner in Forchheim.
Hazy lemon yellow body with a fine white head.
Doughy / yeasty aroma of grainy malt and lifeless lemon-spice hops.
Whiffs of diesel and dried, old cheese.
Limoncello and makeup powder.
Sounds bad, but most off-notes are muted by the yeast.
Dirty minerals and a lot of chalk powder aroma and flavor.
Sourish grains, tart / pasty / sludgy yeast.
That’s the last time I try uploading a pic from mobile.",,214113,3701,'2013-06-06 00:00:00'
3.8,"From bottle at Brauerei Sauer Rottenbach.
Super bubble gum fruity nose. Extremely effervescent and turbid. Some minty greenness in the nose from the hops. tropical / banana gum.
Frothy, filling approach though, carbonation balancing medium sweetness well, not as sweet / fruity as the aroma suggests. Lively in the mouth, wheat is appropriately slick / chewy but aligned well with sugar, bitterness and acid. Light carmerlization.. bready, fruity, pear and apple-like. Drinkable for sure.",,31110,4398,'2014-08-14 00:00:00'
2.9,"draught at the brewery in weisbrunn. clear and effervescent yellow with a dense and foamy white head.  meat-like nose of baloney (!) fat and pale malt.  flavor is somewhat sour, hints at green cabbage and aspirin and stale bread.  buttered bread finish, medium body, messy malt texture.  not good.",,24526,3733,'2009-10-20 00:00:00'
3.5,"Flute glass at the brewery in Memmelsdorf.  Mostly clear dark burgundy red colored body with a tan head.  Nose of smoky caramel malt and raisin bread, some smoked pork or ham as well.  Flavor is crisp then wet, sweet up front with some maple and caramel developing over the middle, before a wet, slightly meaty, subtly smoky finish.  Doughy, light and tasty overall.  Not a smoke bomb, but fairly nice in it subtleness.",,25679,3866,'2008-06-05 00:00:00'
2.3,"Draft at the brewery in Heiligenstadt. First whiff is tomato, barley vegetable stew, turnip, cauliflower, cracker and metal. All of that comes together to form a sort-of giardiniera smell and flavor, minus any vinegar acidity.
Raw, wort-like grainess, a bit sour, very sweet saccharin flavor, fizzy carbonation, body falls apart into a thin finish. ",,47990,5993,'2013-11-25 00:00:00'
2.8,"bottle.  cloudy dull orange body with a soft off-white head.  aroma is somewhat like weizen but has more of a seed quality and the graininess seems higher. notes of stewed grains, soggy multi-grain bread, potato starches and cooked vegetables. creamy carbonation, soft malt but high acid is somewhat brash.  turns a bit sour and musty as it breathes.  ",,108610,5677,'2013-05-22 00:00:00'
3.2,"Draft at Gasthof Dinkel in Stublang. Lightly hazed amber brown body with a small white head. Mostly clean malt-forward aroma of toasted grain / wheat / cereal, strong honey / melanoidin character, sweet and chewy with a full body. It has some dirty minerality and saccharin artificial sweetness, most prominent in the finish. Carbonation has some coarseness. Toasted corn kernels and mild DMS cabbage notes show up as it warms. Sweet bread and cookie batter and honey accents are nice but it could be cleaned up some.",,239514,6867,'2013-11-26 00:00:00'
3.1,"draft at the source.  clear gold, white head.  medium-light body, sweet and rich, especially late, with simple caramelized cane sugar flavor and distinct oily syrupiness. ",,55632,3866,'2011-12-20 00:00:00'
2.6,"Draft at Gasthof Dinkel in Stublang. Same appearance as the bock, lightly hazed dull amber with a small white head. Fizzy carbonation, weak and watery body, grainy, toasty, yeasty aroma and flavor. Basement dust, stale bread / flour, light DMS. Low bitterness with dull hop character.",,59743,6867,'2013-11-26 00:00:00'
2.7,"draft at Drei Kronen Scheßlitz.  aroma of cooked popcorn, butter and sulfur with only minor touches of grass and lemon hops. medium body, lightly sweet, low bitterness, watery texture in the finish.  mild flavor throughout.  grainy and coarse with notes of corn syrup. pear esters show up when it opens some.  very basic.  after this and the Roggn I don’t have a reason to return.
",,47537,5677,'2013-05-22 00:00:00'
2.9,"draft at the source.  clear gold. corn syrup and cracker barley nose. yeast is slightly dirty but mostly neutral, and there’s some slightly buttery diacetyl character with some fusel alcohol and toasted corn grains smell and flavor. forgettable.",,25680,3866,'2011-12-20 00:00:00'
2.2,"Draft at the brewery in Memmelsdorf. Hazed dark amber with a tan colored head. Diacetyl and chemical-tainted off notes consume the nose. Burnt caramel and bread crust and apple preserves. Buttery and acidic, sour in the mouth. Medium body, off-dry, toasty and bready with watery texture. ",,280014,3866,'2014-08-05 00:00:00'
2,"In 2008 this was 4.0 level but I can’t trust my ratings from then. In 2011 it was a diacetyl bomb on a taster tray of similarly tainted beers. In 2014 it’s just as bad: diacetyl nose, acidic, buttery, dirty dish rag, etc. Metal flakes and DMS, skin bacteria and simple toasted grains. Medium light body, apple heavy, estery and faulty. Piss poor beer.",,25681,3866,'2014-08-05 00:00:00'
4.3,"draft at eichhorn in dörfleins. clear and bright copper orange colored effervescent body with a silky and pillowy white head. nose of sticky honey combs just engulfs the senses... this is something spectacular, i can tell from the first smell.  lemon zest, honey comb, wet, grassy hops, this heller bock is about as fresh as you can imagine, might have been tapped the day before... tangy wet hop resin, white raisins, tingly and sticky/oily honey combs combined with an incredibly rich texture and perfectly balanced weight to the body... finishes with a light kiss of white raisin and potato, sticky and snappy and minerally and green.  best heller bock i’ve ever had.  this beer was made for me.  i’m in love.",,44985,5760,'2009-10-20 00:00:00'
3.9,"draft at eichhorn in dörfleins.  pillowy ice cream head on top of a lightly hazed dark gold body.  nose of dried grass, lemon rind, hay and sweet corn.  wonderfully rich and aromatic nose.  a touch of green hop leaves and a creamy yeast-heavy texture is divine.  frothy, medium to full body without being heavy.  awesome beer.",,44984,5760,'2009-10-20 00:00:00'
3.7,"draft at eichhorn in dörfleins.  clear yellow body with a fine white head.  nose is dough and sweet lemon, bit of sweaty hay as well.  pillowy, dense yeast.  rich and dense body combined with a sweet and light lemon and hay flavor is refreshing and quaffable.  clean and snappy other than a bit of plastic/petroleum noticed in the finish.",,95328,5760,'2009-10-20 00:00:00'
3.8,"draft at Brauerei Eichhorn in Forchheim.  soft and toasty nose presents munich malt cracker and baked cookie goodness with a sweet touch of toffee candies and a rustic, slightly-chalky yeast with faint metallic touches.  sweet with a slick texture on the approach, frothy carbonation and solid crispness to the body, tempered somewhat by the sweet toast / nut character of the dark malt.  endlessly enjoyable.",,66839,6220,'2013-01-15 00:00:00'
3.7,"draft at Brauerei Eichhorn in Forchheim.  clear medium-light glowing gold body with a huge and rocky ice cream fluff head. clean and sweet toasted grain and corn kernel pale malt / corn syrup / sugar character with stoic mineral rigidity in body.  subtle but noticeable diacetyl notes float around acceptable levels for Czech lager, and it works well here with the lightly spiced and fruity German hops and sweet, straight-forward pale malt presentation.  well-made for sure, with a crisp and clean profile from lagering, smacking and cracker-y and sweet.  easily drinkable.",,50948,6220,'2013-01-15 00:00:00'
3.3,"draft at Nurnberger Alm.  served cold, so the early character was quiet raw cereal grains, but as it reached proper serving temperature there’s a LOT of manadarin orange juiciness that shows up.  marmalade and jelly beans come to mind.  at times I get the faintest whiff of diacetyl, but it may just be my nose and not the beer.  lightly surlfuric / eggy yeast notes, mild lemon and spice character.  a lot of caramel and sweet orange malt flavors, and just a touch of some wet pet hair / gamey notes.  medium body, medium to high sweetness, low acid, medium carbonation, so the mouth presence is a tad limp.  ",,214449,2910,'2013-05-24 00:00:00'
3.6,"draft at Brauerei Eichhorn in Forchheim.  same perfect appearance as the helles - huge rocky white head on a sparkling rich gold body.  the German hops are spicy and mildly juicy, then become a bit more sweaty / stenchy, musty and pungent (cheese rind) with dried grass notes throughout. smacking, crisp and light-bodied with frothy, full, soft carbonation. lemon / citrus oil comes into play as it breathes more.  leaves a pleasant mineral and hop acid buzz in the mouth. ",,50947,6220,'2013-01-15 00:00:00'
2.9,"bottle, best by Jan 2013.  clear pale gold body with a small to medium-sized white head.  quiet nose of sweetish pale malt and sweet butter with mild apple juice esters and a light mineral quality.  flavor is more of the same: light apple juice, light minerals, softly sour sour cream notes with noticeable huskiness.  overall it’s a bit basic and a tad too twangy and tends to be too sweet without enough carbonation froth and malt rigidity to hold it all up.  ",,87786,2910,'2012-11-22 00:00:00'
2.3,"Highly effervescent pour, clear honey gold color with a fine white head which doesn’t seem to want to stick around. Bananas, mineral water / calcium carbonate, apples, solvent, drywall and lactose aroma. Obvious infection. Sweet, light bodied, DMS-heavy, pasty. Cosmetics and foul fruit and cinder block dust. Bad shape for a fresh bottle.",,60535,6220,'2013-12-02 00:00:00'
3.9,"Draft at the brewery in Bamberg.  Clear yellow.  Savory and full bodied. Noble hops, malt-forward, rich.",,10604,1949,'2008-06-05 00:00:00'
3.8,"clear dark chestnut brown body with a patchy, large-bubbled tan head.  sweetened roasted chestnuts in the nose, sticky almond, toasted cereal grains... excellent aroma.  up front there’s a bit of cola resemblance, but more nuts, caramel, baked bread, dried stone fruit and sweet tobacco to make up for it.  body is good but not great - no strong structure, no sharp crispness, but it’s still sound and drinkable.  ",,10606,1949,'2009-10-20 00:00:00'
3.3,"Draft at the brewery in Bamberg.  Clear gold. Nose is yeast, grain, corn. Crisp, grassy, drying. Noble hops. A decent pils that doesn’t do much other than quench thirst.",,10605,1949,'2008-06-07 00:00:00'
3.7,"draft at Brauerei Fischer in Greuth.  juicy apricot / creamed tangerine / mango / melon / fresh-cut grass / peppercorn spice hop nose with a rich and ever-changing layer of must, minerals, dough, baked bread, toasted cereals, grass and flowers... unreal depth in the nose, and the flavor happily matches.  peach, gum, lemon zest, dough, crackers and a touch of a diacetyl ala Bohemian pilsner... all with an exceptionally creamy texture and muted but pleasant pepper spicy phenols. full froth of carbonation is followed by a washing of acid, leaving a clean pale malt  sweetness accompanied by stellar German hop spice and citrus fruit with quiet remnants of rustic Franconian lager yeast (and credit due to the water, of course!).  wow. these things happen sometimes.  the right batch or the right time of year, served fresh by the braumeister himself.  from the scores here it’s obvious this doesn’t do well in the bottle, as kellerbier rarely does.  but the draft ratings from years past (both score and comments from other raters well-versed in German beer) confirm that this beer, when in good shape, may be one of the best in Franconia.",,16436,4009,'2013-01-27 00:00:00'
3.3,"draft at Brauerei Fischer in Grueth and a bottle at home a month later.  draft batch has a strangely odourous burnt ham fat quality with touches of liquid smoke and charred wood. bottle was less charred / burnt and without the burning fat smell and flavor. medium body, low carbonation, rich and frothy texture across middle, falling apart a bit in the finish. lightly abrasive sweet caramel syrup malt in both samples, though the bottle had more yeast to soften things up.",,9813,4009,'2013-02-03 00:00:00'
3.4,"bottle at Goldener Lowe in Drugendorf. 4.6 %, two months in the bottle.
clear gold body with a medium-sized white head.  excellently clean with mild notes of toasted pale malt; minimal hop expression; light sweetness; good carbonation froth to release the fullness of malt and stopping it from creeping to far to the sweet side on the back of the palate.  quaffable, crisp, quenching.  it’s quite a basic beer, though no off-notes to be found, the pale malt does come across just a *tad* too close to corn syrup.  it’s not a major annoyance, it’s small, but it’s there.  that said, the release of carbonation and mild husk tannins and lingering baked cracker and sourdough flavor in the finish is quite enjoyable",,14353,2033,'2012-12-25 00:00:00'
3.2,"gushing bottle, the first gusher from Germany I’ve seen among semi-fresh bottles.  yeast-heavy nose is muddled and yogurty.  best by Dec 2012. spearmint hop spice in the nose along with some bready and doughy dark malt.  silky and creamy mouthfeel with lightly toasted grains and light to medium huskiness.  muddled yeast flavor with light acidity and somewhat excessive pastiness.  probably not in the best shape, but other than the light acid, the body is enjoyable creamy and soft.",,24686,3755,'2012-11-22 00:00:00'
3.2,"draft at Goldener Lowe in Drugendorf
medium-dark brown body, lightly hazed, mostly white head. very faint nose of washed out toasted grains and mild dry cocoa powder with a small touch of caramelized sugar / toffee. lightly doughy with low carbonation leaves the body and texture a bit watery, and at times it seems flavorless.  ",,14352,2033,'2012-12-25 00:00:00'
3.2,"Bottle from Landbierparadies.
Clear gold with a small white head. Mostly clean pale malt aroma, your basic toasted grain / biscuit / bread with some light apple esters and a bit of sulfur. Medium-light body but good firmness, acid and fullness in the mouth.  Lightly sweet, low bitterness.  Some corn kernels show up later along with stronger apple and pear esters, so it’s a limited by that.
",,38447,3994,'2013-06-13 00:00:00'
3,"Bottle had in November 2012, best by date February 2013.
bright gold body with a small white head.  strangely apple-heavy nose with some light solvent, dry wall powder, apple skin tannin flavor, solvent-like acids are mild but present enough to be bothersome. can’t say this one ranks among the better from Franconia, though recommended highly by a very talented brewer I believe this may be in better shape at the source.  lightly acidic medium bitterness, mostly dry.  vitamin heavy and husky finish and sourish mint.",,10287,1877,'2013-06-08 00:00:00'
4.1,"draft at Nurnberger Alm.
rich chestnut brown body with a tall-building fine bubbled tan head.  huge graham cracker honey malt nose. medium-thick body, chewy and creamy and fully frothy carbonation with amazing rigid and well-structured malt support. lingering graham cracker malt finish with light dryness and low but noticeable hop bitterness / spice allows this to be a fully malt driven experience. expertly balanced; not too sweet; no astringency; no huskiness... just a blossoming of rich toasted / cracked Munich malt.
beautiful beer. rich color and rich flavor.  a shame that such a well-made lager is thought of as so ho-hum, but at least for fans of rich malt experiences where there’s more going on than simply sweetness (i.e. fans of texture), this is sure to please.",,33457,4689,'2012-11-22 00:00:00'
4,"bottle at Nurnberger Alm.
heavily cloudy orange-gold body with a tall-building rocky white head. bubble gum and sweet banana esters in the nose with vibrant and lively citrus-like acids and esters. lightly musty and tart lactic acidity with a wonderfully creamy and soft full body.  rich and many-layered, zesty and fresh, prickly and lively phenolics combine with creamy and soft carbonation and a creamy, full and round texture.  a very comforting beer, and one of the best weizens I’ve had in years.
",,95240,4689,'2012-11-28 00:00:00'
3.7,"draft at Nurnberger Alm and Lindenbräu
sparkling clear gold, effervescent body with a tall white head. prickly, zesty minerallic spicy German hop nose with a light touch of raw greenness, medium-strength acidity. lean malt body, clean, only a light touch of astringency. superbly soft carbonation is fluffy, pillowy and airy, and the beer as a whole seems quite delicate. lightly grassy Spalt spice to the hop nose as it breathes.  quite nice.",,47641,4689,'2012-11-22 00:00:00'
3.7,"Note: I beg you to ignore the ticker-tasting ratings from bottles shared among a dozen people - such treatment of a well-crafted lager intended to be enjoyed as a full serving is shameful.

Rating: draft at Brauerei Lindenbräu
clear deep chestnut brown body with a small, finely-bubbled off-white head. patchy, long-lasting lacing. rich sweet toffee Munich malt nose with bright calcium and other minerals. exceptionally clean and fluid on the tongue with rich and soft carbonation. deep and layered toffee, caramel, sweet baked pastries, chestnut oil, acorns and other various toasted nut life. toasty and bready with a soft explosion of low carbonation across middle and back of the tongue. not an off-note to be found. lengthy clean and rich toffee malt finish.",,33456,4689,'2013-02-21 00:00:00'
2.8,"bottle at Brauerei Lindenbräu
medium amber with light haze.  tall-building foamy and patchy head. faint nose of mineral water with malzbier malt smell and flavor (syrupy, grainy, cola-like) and similar texture (watery ho-hum thin body). some more genuine notes of toasted grains develop but they’re also washed out. has decent frothiness but too little malt to hold it up as it splashes across the tongue. lingering aspartame / nutrisweet finish with a minerallic antacid buzz.  didn’t have high hopes for this one, as with these light pils and weizens reducing the alcohol as a priority, sacrificing the lush malt texture.   ",,71152,4689,'2012-11-29 00:00:00'
3.5,"Draft in Drosendorf. Unfiltered yellow with a white head.  Fruity lemon and sweet crackers, malty and doughy. Medium body, hoppy, crisp, a little tart.",,35709,3928,'2008-06-05 00:00:00'
2.3,"This unclean DMS-laden lager has a host of problems: corn-on-the-cob / butter, cement mix. vegetables, potato chips, pineapple gum. Light body, sweet saccharine finish, fizzy carbonation and brash minerality and acidity.  fresh bottle in bad shape.",,17278,2943,'2013-12-04 00:00:00'
3.4,"Mug at the brewery in Drosendorf.  Crisp, wet, and grassy corn along with sweet caramel candy flavor throughout.  Crisp vegetal sweet malt flavor, not really hoppy at all, but malt-centered and sweet and twangy.  Light bread and tart corn husk at times.  Okay overall but not really that exciting.",,35707,3928,'2008-06-05 00:00:00'
3.5,"Bottle. Cloudy golden wheat body with a fine and lasting white head. Lemon and lime rind and pith, sour mash wheat, faint lactic acid nose. Yeast, muddy, musty, mild sweet banana, lightly smoked wheat, medium sulfur / dried egg shell. Medium body, medium sweetness, effervescent and frothy with zesty acidity on a creamy and smooth wheat body. Chalky banana SweetTarts.  Almost nondescript smoke character. lightly meaty and smoky Hefeweizen meets berliner weisse with an orange slice in your glass and a small banana slice too because we’re fancy.",,119090,11414,'2013-07-16 00:00:00'
2.7,"draft at the source.  mild and neutral yeast nose with mild gravel and dried- mushroom must and a lighter moldy grain note. medium-light body, slightly chewy, lightly grassy but mostly lacking flavor, it’s surprisingly mild and plain. quiet dried grass hop character. good froth across the middle but otherwise it’s very forgettable and plain.",,26176,3928,'2011-12-20 00:00:00'
3.3,"draft at greifenklau in bamberg.  cloudy orange.  perfect fine-bubbled silky white head.  nose of moderately burnt nutty bananas, little bit of perfume/soap from the yeast, mild clove presence, mild bready yeast esters. fizzy and messy carbonation, overly effervescent and brash.  spiced character is unnecessary and distracting.  has problems, perhaps batch-to-batch variability.",,24399,1940,'2009-10-20 00:00:00'
3.7,"bottle.  strongly sweet and resinous with crisp and snappy honey-drizzled biscuit malt, golden and sappy and awesome. low bitterness allows the sweet and crisp malt to shine. low acid, high sweet, medium full body and soft carbonation present this heller bock amazingly well.  it’s sticky, sweet, smooth but slightly resinous.  delicious nectar.",,53865,3890,'2011-12-21 00:00:00'
3.3,"Café Abseits, Bamberg. lightly hazed medium dark gold, patchy off-white head.  a bit watery and bit thin.   apple juice and lightly pungent noble hops in the nose.  light grassiness complimenting the honey and toast malt. drinkable but nothing exciting.",,29781,3890,'2011-12-21 00:00:00'
4.1,"From wooden gravity keg at the brewery in Giesfeld (June 2008).   hazy  body with a patchy off-white head.  Nose of old fruit and nuts, some grassy hops.  Wet grain / bread, hay, wheat, etc.  Toasty and soft.


re-rate May 2013: quite nice, very floral, lemony, flowery and fresh.  smooth malt texture, creamy low carbonation.  definitely in good shape, a surprise to find again.

again in November 2013: Nectary, lemony, doughy, juicy, some Vitamin b and sulfur. less hoppy than before.  still solid.",,28669,4159,'2008-06-05 00:00:00'
3.2,"bottle, best by December 2012.
hazy pale gold body with a medium-sized fine white head.  first whiff right off the pour is surprisingly bacteria-like and strongly phenolic - it honestly smells like some brett a pedio, though it breathes out after a few minutes and the smell is much more typical of a kellerbier or zwickel: acidic and pungent dried citrus hops, grass / hay / barnyard mustiness, etc.  tingly, zesty acid on the tongue with some graininess and sharpness throughout. this bottle seems a bit faded but the grain husk character certainly seems intentional, and out of place for sure.  light body with noticeable syrupiness and a slick, oily finish.  ",,61127,3890,'2012-11-22 00:00:00'
4.1,"Multiple bottles, fresh from the brewery in Geisfeld. Expressive Spalter hop lemon and mineral water nose, hoppier than the kellerbier if you can believe that. Soft, low carbonation, rich and succulent body, prickly hop acids, vibrant lemon zest, baked cracker / sourdough bread expression. Superbly clean, minerallic, zesty, rich, all components very bright and expressive. The lemon-tinged sweet pilsner malt is cut well by the minerally water and hop acidity, and each component is expressive and distinct.",,36028,4159,'2013-11-25 00:00:00'
2.7,"Vom fass at Grasser in Huppendorf.
Amber body, clear with a short white head.
Toffee, sweet breads, honey, red apple skins.
Moderate bitterness, high sweetness, noticeable esters.
Mild off-notes of wet dog hair and chemicals.
Medium body thinning into a watery finish; low acidity / flabby.
A bit boring though the toffee / caramel notes are nice. ",,44439,3890,'2013-12-01 00:00:00'
4,"Bottle at the brewery in Giesfeld.  Hazy yellow with a white head.  Citrus zest, wheat, clove, perfume.  Crisp and quenching and tart and juicy.",,67756,4159,'2008-06-05 00:00:00'
2.7,"Bottle at the brewery, labeled 1750 Vollbier, bbd January 2014.
This is the Hausbrauerart, the regular Vollbier left unfiltered.
Stale tasting and metallic on first whiff.
Oxidized malt, grassy herbal hops, nutty malt.
Gritty and crunchy body, stale ashy cara-malt flavor.
Medium body, medium bitterness, balanced but crusty and coarse malt texture.
Possible mild sign of infection / faint lactic sourness.
I fear the bottles have not preserved the beer well, as the filtered Vollbier vom fass had a much brighter orange-citrus hop character and the malt was fresh.",,35842,3890,'2013-12-01 00:00:00'
2.9,"From tap at the brewery in Staffelbach.
Hazed amber-brown with an off-white head. Comes across as a malty dunkles landbier with subtle apple / caramel / cardboard character. Toasty and starchy malt with growing paper notes. Pasty / silty yeast bringing unpleasant acidity to the back. Mild hop expression of pepper / spice. Quick finish. ",,104987,10530,'2014-08-08 00:00:00'
4.1,"bottle.  chestnut brown body with a small off-white head.  rich malt experience in the nose, flavor and texture: seared nut oils, fruit cake, toasted sweet bread, coffee cake, light char of grain husks; really well put-together with small honey / melanoidin malt touches throughout.  chewy, sticky and crisp texture with wonderful liveliness and cleanliness.  rich, sticky caramelized sugars dance with roasted / toasted malt; alcohol is present but perfectly suited for the body and sweetness.  stunning dunkler bock. ",,22939,305,'2012-12-29 00:00:00'
2.2,"bottle in november 2012, best by february 2013. apple juice and butane nose, sweet smelling and cider-like, dirty with waxy citrus juice oils and sharp acid, crusty and stale malt. a surprising drain pour, this and another bottle were purchased direct from the brewmaster’s fridge.",,60728,5148,'2013-01-18 00:00:00'
4.2,"Vom fass at Gastof Heckel in Waischenfeld.
Lightly hazed amber-hued gold with a fine white head.
Toasty and rich with a delicious honey melanoidin flavor.
Light gaminess, mustiness, rustic yeast.
Grassy and herbal and spicy hops with quieter lemon and mint suggestions.
Juicy, malty, sweet, savory, succulent.
Remarkably good from the first sip, at times seems to sit between richer helles and lighter Heller Bock.
Unlike many Franconian helles landbier in character and certainly demanding of attention.
Confirmed by the brewer at 5.5% ABV.",,87293,9511,'2013-12-01 00:00:00'
3.9,"bottle, best by January 2013.
lightly hazed amber body with a small white head.  pronounced smoked malt in the nose but it’s certainly the soft kind of kilned barley with a light peatiness as seen in whiskey (not the more brutish smoked wood and meat notes found in things such as rauchmarzen or doppelbock).  notes of honey and honey-glazed ham appear as it opens, as does a subtle green / raw fruity hop scent, and the sweetish amber malts play with well.  superb cleanliness beginning to end.  light-bodied and lean body with a medium-strength oily peat residue lasting.  very, very unique Franconian beer.  delicious and quaffable but also something worth savoring and sipping.",,16443,305,'2012-11-22 00:00:00'
1.9,"bottle. horrible. apple juice and dirty minerals / gravel in the nose.  yeast character is mild chalk powder and egg yolk. lightly frothy carbonation but brash malt body, mostly sweet, low bitterness, medium acid.  grainy, coarse, rough and husky.  has astonishingly realistic putrid egg yolk and apple juice flavors. ",,38700,5148,'2013-01-18 00:00:00'
4.3,"Score is for overall impression over many bottles and out of the oakwood keg at the Brauhaus in Bamberg, where it was likely the best smoked beer I’ve ever had.  Notes below are old and need revision.


The nose is almost entirely smoked salmon and smoked cheddar, very forthright and direct with the creamy, almost milky smoke scent.  Smooth liquid and creamy texture, lightly biting with the smoked grains and salmon flavors, finishing with a touch of sweetness and a wallop of liquid smoke.",,1269,213,'2007-04-14 00:00:00'
3.4,"Draft at Hartmann. Hazed light amber body with a fluffy white head, highly effervescent. Browned bananas with strong phenols in the nose. Thin body for weizen with a rich dark cookie batter and dark wheat bread flavor, texture has a strong savoriness which defies its lean disposition. Creamy toasted bread / wheat. Enjoyable nose, I only wish the body had a bigger presence.",,1709,305,'2013-11-24 00:00:00'
